Term,Plan,Employer,State
20138,COMPSCI-BS,Thomson Reuters,NY
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,SOFTENG-BS,"Loomis, Sayles & Company, L.P",MA
20138,COMPSCI-MS,Micron Technology,VA
20138,COMPSCI-MS,Cortex-Vertical,NJ
20138,SOFTENG-MS,"Synechron, Inc.",NY
20138,COMPSCI-MS,EMC Corporation,MA
20138,COMPSCI-MS,Amazon,WA
20138,INFOSEC-BS,Wegmans Food Markets Inc,NY
20138,COMPSCI-BS,Parsons,VA
20138,COMPSCI-MS,TourBlend (RIT Venture Creations),NY
20138,SOFTENG-BS,Interactive Intelligence Inc,IN
20138,SOFTENG-BS,EnerNOC Inc,MA
20138,INFOTEC-BS,Tory Burch LLC,NY
20138,SOFTENG-BS,Paychex Inc,NY
20138,GAMEDES-BS,District Trivia,MD
20138,SOFTENG-BS,General Dynamics Mission Systems,MA
20138,INFOTEC-BS,"Sensored Life, LLC",NY
20138,GAMEDES-BS,BrokenMyth Studios LLC,NY
20138,GAMEDES-BS,Advanced Micro Devices,CA
20138,SOFTENG-BS,Buncee,NY
20138,SOFTENG-BS,John Wiley & Sons,NJ
20138,COMPSCI-BS,Great Lakes Higher Education Corporation and Affiliates,WI
20138,COMPSCI-MS,"Bausch & Lomb, Valeant",NY
20138,ANSA-BS,RIT - Saunders College of Business,NY
20138,COMPSCI-BS,PIXIA Corp.,VA
20138,COMPSCI-BS,Citigroup,NY
20138,COMPSCI-BS,Intuit,CA
20138,COMPSCI-BS,EnerNOC Inc,MA
20138,SOFTENG-BS,EnerNOC Inc,MA
20138,COMPSCI-BS,Nebula,WA
20138,NETSYS-MS,Cisco Meraki,CA
20138,COMPSCI-MS,Intuit,CA
20138,COMPSCI-MS,SapientNitro,MA
20138,COMPSCI-MS,Markem-Imaje,NH
20138,COMPSCI-MS,Microsoft Corporation,WA
20138,ANSA-BS,Harris Corporation,FL
20138,COMPSCI-MS,S&P Capital IQ,NY
20138,COMPSCI-MS,Ortho Clinical Diagnostics,NY
20138,SOFTENG-BS,Soleo Communications Inc,NY
20138,INFOTEC-BS,REDCOM Laboratories Inc,NY
20138,INFOTEC-BS,Gross Automation,WI
20138,COMPSCI-BS,Microsoft Corporation,WA
20138,SOFTENG-MS,Xelex Technologies Inc.,NY
20138,SOFTENG-BS,Paychex Inc,NY
20138,SOFTENG-BS,Mercury Computer Systems Inc,MA
20138,INFOSEC-BS,Global Response,FL
20138,COMPSCI-BS,Poseidon Systems (formerly Impact Sensors),NY
20138,GAMEDES-BS,PlayWerks Inc,CA
20138,COMPSCI-BS,University of Rochester - Dept of Psychiatry,NY
20138,COMPSCI-BS,GEICO,MD
20138,GAMEDES-BS,iMagicLab,MD
20138,INFOSEC-BS,RIT - ITS Desktop Support,NY
20138,GAMEDES-MS,"1st Playable Productions, LLC",NY
20138,INFOSEC-BS,BOCES Monroe #2,NY
20138,NETSYS-MS,CoVal Systems,PA
20138,NWMEDID-BS,Emagination Computer Camps,NH
20138,NWMEDID-BS,Letnany Sever,XX
20138,COMPSCI-MS,CryptoLabs,NY
20138,INFOTEC-BS,Cerner Corporation,MO
20138,INFOSEC-BS,Cisco Systems Inc,CA
20138,ANSA-BS,"athenahealth, Inc.",MA
20138,INFOTEC-BS,Calero,NY
20138,GAMEDES-BS,Envative,NY
20138,COMPSCI-BS,MasterCard International,MO
20138,INFOTEC-BS,American Greetings,OH
20138,INFOTEC-BS,RIT-NTID - Technical Support Services,NY
20138,SOFTENG-BS,RIT - Information & Technology Services,NY
20138,SOFTENG-BS,Gallaudet University,DC
20138,COMPSCI-BS,Microsoft Corporation,WA
20138,INFOSEC-BS,Semperon Systems Inc.,NY
20138,INFOSEC-BS,Parsons,MD
20138,SOFTENG-BS,Apple,CA
20138,COMPSCI-BS,CryptoLabs,NY
20138,INFOTEC-BS,Quabaug Corporation,MA
20138,GAMEDES-BS,2020Venture,CA
20138,GAMEDES-BS,Noblis,VA
20138,COMPSCI-BS,Facebook,CA
20138,COMPSCI-BS,KMC Systems,NH
20138,COMPSCI-BS,Paychex Inc,NY
20138,SOFTENG-BS,About Objects,VA
20138,SOFTENG-BS,Intuit,CA
20138,GAMEDES-BS,Workinman,NY
20138,COMPSCI-BS,Intuit,CA
20138,INFOTEC-BS,RIT - Saunders Startup,NY
20138,GAMEDES-BS,Darkwind Media,NY
20138,SOFTENG-BS,Ortho Clinical Diagnostics,NY
20138,INFOTEC-BS,Brandlogic Corp,NY
20138,COMPSCI-BS,Microsoft Corporation,WA
20138,INFOTEC-BS,Mary Cariola Children's Center,NY
20138,NWMEDID-BS,Excellus BlueCross BlueShield,NY
20138,COMPSCI-BS,"Vistaprint, A Cimpress Company",MA
20138,GAMEDES-BS,Siren Interactive,IL
20138,GAMEDES-BS,Fidelity Investments,NH
20138,ANSA-BS,M&T Bank,NY
20138,INFOSEC-BS,Northrop Grumman Corporation,VA
20138,NWMEDID-BS,NimbleUser,NY
20138,INFOTEC-BS,Liberty Mutual,NH
20138,COMPSCI-BS,Lockheed Martin,NY
20138,ANSA-BS,Paychex Inc,NY
20138,NWMEDID-BS,Intuit,CA
20138,INFOSEC-BS,Symantec Corporation,VA
20138,INFOTEC-BS,Saratoga Hospital,NY
20138,SOFTENG-BS,US HealthTek,VA
20138,COMPSCI-BS,HubSpot,MA
20138,GAMEDES-BS,Toshiba,IL
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,COMPSCI-MS,Amadeus,MA
20138,INFOTEC-MS,The MathWorks,MA
20138,COMPSCI-MS,JPMorgan Chase,FL
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,COMPSCI-BS,"athenahealth, Inc.",MA
20138,NETSYS-MS,Experis,NC
20138,COMPSCI-MS,Apple,CA
20138,COMPSCI-MS,eHealth Global Technologies Inc,NY
20138,COMPSCI-BS,Adarza Biosystems Inc,NY
20138,INFOTEC-MS,Apple,CA
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,ANSA-BS,M&T Bank,NY
20138,GAMEDES-BS,"Vistaprint, A Cimpress Company",MA
20138,COMPSCI-MS,Qualitrol Inc,NY
20138,SOFTENG-BS,RIT - Microelectronic Engineering,NY
20138,INFOTEC-BS,Red Hat Inc.,NC
20138,SOFTENG-BS,Envisage Information Systems,NY
20138,INFOSEC-BS,Parsons,VA
20138,INFOSEC-BS,Draper Laboratory,MA
20138,INFOSEC-BS,The Hershey Company,PA
20138,COMPSCI-MS,Cisco Systems Inc,CA
20138,COMPSCI-MS,Bank of America Merrill Lynch,NY
20138,NETSYS-MS,Genesee & Wyoming Inc,NY
20138,GAMEDES-BS,Zeller: A Kaman Company,NY
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,SOFTENG-BS,SmugMug,CA
20138,COMPSCI-BS,"Vistaprint, A Cimpress Company",MA
20138,COMPSCI-BS,Hudl,NE
20138,GAMEDES-BS,Cargas Systems,PA
20138,ANSA-BS,Cheiron Inc,VA
20138,INFOST-MS,The Distinguished Programs Group,NY
20138,SOFTENG-BS,Microsoft Corporation,WA
20138,COMPSCI-BS,Hudl,NE
20138,SOFTENG-BS,Allstate,IL
20138,SOFTENG-BS,Constant Contact,MA
20138,COMPSCI-MS,OMNI Valve,OK
20138,ANSA-BS,Advance Mold & Manufacturing Inc,NY
20138,GAMEDES-MS,"1st Playable Productions, LLC",NY
20138,COMPSCI-BS,Microsoft Corporation,WA
20138,COMPSCI-MS,iD Tech Camps (Internal Drive),CA
20138,ANSA-BS,Barilla America Inc,NY
20138,GAMEDES-BS,Datto Inc.,CT
20138,INFOSEC-BS,Syracuse University,NY
20138,SOFTENG-BS,Calero Software (formerly Veramark),NY
20138,INFOTEC-BS,Wayne-Finger Lakes BOCES,NY
20138,INFOSEC-BS,PASCO Building Automation Systems,NY
20138,COMPSCI-BS,Northrop Grumman Corporation,VA
20138,INFOTEC-BS,Wayne-Finger Lakes BOCES,NY
20138,INFOSEC-BS,BOCES Monroe #2,NY
20138,GAMEDES-BS,Cadence Design Systems,MA
20138,COMPSCI-BS,Lawrence Livermore National Laboratory,CA
20138,INFOST-MS,University of Rochester - Info Technology,NY
20138,COMPSCI-BS,"Vistaprint, A Cimpress Company",MA
20138,COMPSCI-BS,Credit Suisse,NY
20138,GAMEDES-BS,RIT - Software Engineering,NY
20138,INFOTEC-BS,IPC Systems Inc,CT
20138,INFOTEC-BS,Adventive Inc,NY
20138,COMPSCI-BS,EnerNOC Inc,MA
20138,SOFTENG-BS,Excellus BlueCross BlueShield,NY
20138,GAMEDES-BS,Affiliated Associations of America (AOAA),WA
20138,INFOSEC-BS,University of Rochester  - Center for Research Computing,NY
20138,COMPSCI-MS,Twitter Inc,CA
20138,INFOSEC-BS,Cisco Systems Inc,NC
20138,COMPSCI-BS,General Electric,OH
20138,COMPSCI-BS,Amazon,VA
20138,NETSYS-BS,"Annese & Associates, Inc.",NY
20138,COMPSCI-BS,IDI Billing Solutions,NY
20138,COMPSCI-BS,Constant Contact,MA
20138,SOFTENG-BS,BAE Systems,NY
20138,COMPSCI-BS,MBF Bioscience,VT
20138,INFOSEC-BS,US Army - Center for Army Analysis,VA
20138,SOFTENG-BS,Microsoft Corporation,WA
20138,INFOSEC-BS,RIT - ITS/Technical Support,NY
20138,COMPSCI-BS,Apple,CA
20138,INFOSEC-BS,Leidos Inc,VA
20138,COMPSCI-BS,RIT - School of Mathematical Sciences,NY
20138,COMPSCI-MS,Calero Software (formerly Veramark),NY
20138,COMPSCI-MS,Thomson Reuters,NY
20138,INFOSEC-BS,Syracuse University,NY
20138,INFOSEC-BS,Vanguard,PA
20138,INFOSEC-BS,RIT - Information Security Office,NY
20138,SOFTENG-BS,Integration Point Inc,NC
20138,COMPSCI-BS,MIT Lincoln Laboratory,MA
20138,INFOSEC-BS,RIT - Engineering,NY
20138,SOFTENG-BS,Amazon,WA
20138,INFOTEC-BS,Quicken Loans,MI
20138,INFOTEC-BS,CaterTrax,NY
20138,COMPSCI-BS,Mitre Corp,VA
20138,NWMEDID-BS,The Hershey Company,PA
20138,COMPSCI-BS,Microsoft Corporation,WA
20138,NWMEDID-BS,UNICEF,NY
20138,SOFTENG-BS,RIT - Information & Technology Services,NY
20138,GAMEDES-BS,EnerNOC Inc,MA
20138,NWMEDID-BS,RIT - Information & Technology Services,NY
20138,SOFTENG-BS,Datto Inc.,CT
20138,INFOTEC-BS,RIT - Software Engineering,NY
20138,GAMEDES-BS,AURUBIS Buffalo INC.,NY
20138,COMPSCI-BS,Datto Inc.,CT
20138,COMPSCI-BS,University of Rochester Medical Center - Orthopaedics,NY
20138,COMPSCI-MS,Cisco Systems Inc,CA
20138,SOFTENG-BS,Dawnbreaker,NY
20138,GAMEDES-BS,High 5 Games,NY
20138,NWMEDID-BS,RIT - Institute for Health Sciences and Technology,NY
20138,NETSYS-BS,SMP,NY
20138,COMPSCI-BS,Vanguard,PA
20138,GAMEDES-BS,SapientNitro,MA
20138,INFOSEC-BS,Palantir Technologies,CA
20138,ANSA-BS,Frontrunner Network Systems,NY
20138,COMPSCI-MS,IBM Corp,MA
20138,COMPSCI-MS,Intuit,CA
20138,COMPSCI-MS,Intuit,CA
20138,COMPSCI-MS,Juniper Networks Inc,CA
20138,COMPSCI-MS,Intuit,CA
20138,INFOTEC-MS,FactSet Research Systems Inc.,CT
20138,INFOSEC-BS,RIT - Information Security Office,NY
20138,COMPSCI-MS,Calero Software (formerly Veramark),NY
20138,COMPSCI-MS,Entre Computer Services,NY
20138,COMPSCI-BS,Intel Corp,OR
20138,COMPSCI-BS,BlueTie Inc,NY
20138,COMPSCI-BS,Envisage Information Systems,NY
20138,COMPSCI-MS,Qualcomm,CA
20138,INFOSEC-BS,Pro-Mold Inc,NY
20138,INFOTEC-BS,Electronic Access Solutions-Lenel,NY
20138,INFOTEC-BS,Constellation Brands Inc,NY
20138,NWMEDID-BS,RIT - Simone Center,NY
20138,ANSA-BS,"Gorbel, Inc.",NY
20138,COMPSCI-BS,"EMC, RSA Security Inc",MA
20138,NETSYS-MS,Box Inc,CA
20138,INFOST-MS,"CommVault Systems, Inc.",NJ
20138,GAMEDES-BS,Microsoft Corporation,WA
20138,GAMEDES-BS,id Tech,MA
20138,SOFTENG-BS,Constant Contact,MA
20138,INFOTEC-MS,eClinical Works,MA
20138,INFOST-MS,"Bausch & Lomb, Valeant",NY
20138,ANSA-BS,Liberty Mutual,NH
20138,INFOST-MS,Intuit,CA
20138,NWMEDID-BS,Vimana,MD
20138,COMPSCI-MS,Credit Suisse,NY
20138,COMPSCI-BS,Quality Vision International,NY
20138,INFOTEC-BS,BOCES Monroe #2,NY
20138,SOFTENG-BS,Brand Networks Inc,NY
20138,SOFTENG-BS,RIT - Information & Technology Services,NY
20138,INFOTEC-BS,Lockheed Martin,FL
20138,SOFTENG-BS,Time Inc.,NY
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,GAMEDES-BS,Kestee Corp,NJ
20138,COMPSCI-MS,Majesco Mastek Insurance Software and Solutions Inc.,NY
20138,COMPSCI-MS,Intuit,CA
20138,NETSYS-MS,Juniper Networks Inc,CA
20138,INFOSEC-BS,Base Commerce LLC,NY
20138,INFOTEC-BS,Paychex Inc,NY
20138,INFOSEC-BS,IBM Corp,GA
20138,SOFTENG-BS,APD Engineers & Surveyors,NY
20138,ANSA-BS,Target Corp,MN
20138,GAMEDES-BS,RIT - MAGIC Spell Studios LLC,NY
20138,COMPSCI-BS,SPX Flow Technology,NY
20138,NWMEDID-BS,Salesforce.com,CA
20138,COMPSCI-MS,Juniper Networks Inc,MA
20138,INFOTEC-MS,RecordsOne,FL
20138,COMPSCI-MS,The Mice Groups Inc,CA
20138,INFOSEC-BS,NetNumber,MA
20138,GAMEDES-BS,GeekHive,NY
20138,INFOSEC-BS,Time Inc.,NY
20138,NWMEDID-BS,Verizon Wireless,NJ
20138,GAMEDES-BS,Royal Master Grinders Inc,NJ
20138,COMPSCI-BS,RIT - College of Liberal Arts,NY
20138,INFOSEC-BS,BOCES Monroe #2,NY
20138,SOFTENG-BS,Carestream Health,NY
20138,GAMEDES-BS,Board of Governors of the Federal Reserve System,DC
20138,SOFTENG-BS,Brand Networks Inc,NY
20138,COMPSCI-BS,EMC Corporation,MA
20138,COMPSCI-BS,RIT - Golisano College of Computing,NY
20138,SOFTENG-BS,Soleo Communications Inc,NY
20138,SOFTENG-BS,EnerNOC Inc,MA
20138,NWMEDID-BS,Brand Networks Inc,NY
20138,COMPSCI-BS,FBI,DC
20138,INFOSEC-BS,Interactive Intelligence Inc,IN
20138,COMPSCI-MS,Maginatics Inc,CA
20138,NETSYS-MS,Symplicity Corporation,VA
20138,COMPSCI-BS,Oracle,PA
20138,INFOTEC-MS,Euclid Technology,MD
20138,COMPSCI-MS,Mitre Corp,VA
20138,SOFTENG-BS,UTC Aerospace Systems,MA
20138,INFOSEC-BS,JPMorgan Chase,NY
20138,ANSA-BS,Cisco Systems Inc,NC
20138,SOFTENG-BS,Exelis,NY
20138,GAMEDES-BS,Calero Software (formerly Veramark),NY
20138,COMPSCI-BS,EnerNOC Inc,MA
20138,INFOSEC-BS,Wilmorite Management Group LLC,NY
20138,COMPSCI-BS,The Hershey Company,PA
20138,SOFTENG-BS,Apple,CA
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,NETSYS-BS,RIT - Golisano College of Computing,NY
20138,GAMEDES-BS,ISOTX,FL
20138,GAMEDES-BS,Viewpoint Construction Software,PA
20138,COMPSCI-BS,Winland Enterprises LTD,XX
20138,NWMEDID-BS,SapientNitro,MA
20138,SOFTENG-BS,MOOG Inc,NY
20138,COMPSCI-BS,Bryx Inc,NY
20138,SOFTENG-BS,Amazon,WA
20138,COMPSCI-BS,InterSystems Corporation,MA
20138,COMPSCI-BS,Google,CA
20138,COMPSCI-BS,Brigade Capital Management,NY
20138,COMPSCI-BS,National Applied Research Laboratories/National Space Organization,XX
20138,SOFTENG-BS,Intuit,CA
20138,GAMEDES-BS,Success Academy Charter Schools,NY
20138,GAMEDES-BS,Jahnel Group,NY
20138,GAMEDES-BS,Workinman,NY
20138,SOFTENG-BS,Wegmans Food Markets Inc,NY
20138,INFOTEC-BS,BOCES Monroe #2,NY
20138,SOFTENG-BS,Datto Inc.,CT
20138,COMPSCI-BS,Microsoft Corporation,WA
20138,INFOTEC-BS,Pearson Education,MA
20138,INFOSEC-BS,Darien Lake Theme Park Resort,NY
20138,SOFTENG-BS,Philips North America,MA
20138,SOFTENG-BS,Paychex Inc,NY
20138,ANSA-BS,Liberty Mutual,NH
20138,COMPSCI-BS,Fuzz Productions,NY
20138,GAMEDES-BS,Microsoft Corporation,WA
20138,INFOTEC-BS,Fancy Pants,NY
20138,INFOTEC-BS,BrokenMyth Studios LLC,NY
20138,GAMEDES-BS,Lake Effect Applications,NY
20138,NETSYS-MS,Thor Group,CA
20138,COMPSCI-BS,Rochester Software Associates,NY
20138,INFOTEC-BS,Wegmans Food Markets Inc,NY
20138,COMPSCI-BS,Paychex Inc,NY
20138,NWMEDID-BS,Rochester Ophthalmological Group,NY
20138,GAMEDES-BS,Electronic Access Solutions-Lenel,NY
20138,SOFTENG-BS,Bosch Security Systems,NY
20138,COMPSCI-BS,TEL NEXX,MA
20138,SOFTENG-BS,Lacoda LLC,PA
20138,INFOTEC-BS,Mediacom Communications Corp,NY
20138,GAMEDES-BS,Vuzix Corporation,NY
20138,SOFTENG-BS,Apple,CA
20138,GAMEDES-BS,Warner Bros,CA
20138,COMPSCI-MS,Idea Tech Solutions Inc,IL
20138,INFOSEC-BS,Blackrock,DE
20138,SOFTENG-BS,"Mobius Works, LLC",MA
20138,SOFTENG-BS,Rochester Software Associates,NY
20138,ANSA-BS,Palantir Technologies,CA
20138,COMPSCI-BS,Paychex Inc,NY
20138,GAMEDES-BS,Darkwind Media,NY
20138,SOFTENG-BS,Synacor Inc.,NY
20138,COMPSCI-MS,CloudCheckr,NY
20138,COMPSCI-BS,Apple,CA
20138,NETSYS-BS,BOCES Monroe #2,NY
20138,SOFTENG-BS,Mitre Corp,VA
20138,COMPSCI-BS,Constant Contact,MA
20138,GAMEDES-BS,"1st Playable Productions, LLC",NY
20138,INFOSEC-BS,Parsons,VA
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,COMPSCI-BS,Constant Contact,MA
20138,SOFTENG-BS,Allied Associates International,VA
20138,COMPSCI-BS,MOOG Inc,NY
20138,GAMEDES-BS,Zynga,CA
20138,COMPSCI-BS,General Electric,OH
20138,ANSA-BS,Fidelity Investments,NH
20138,NWMEDID-BS,"Gorbel, Inc.",NY
20138,INFOSEC-BS,Parsons,VA
20138,INFOTEC-BS,SA IT Services,GA
20138,INFOTEC-BS,RIT - School of Mathematical Sciences,NY
20138,INFOSEC-BS,Corning Incorporated,NY
20138,SOFTENG-BS,Codonics Inc.,OH
20138,INFOTEC-BS,University of Chicago,IL
20138,INFOSEC-BS,Wayfair,MA
20138,MEDINFO-BS,Excellus BlueCross BlueShield,NY
20138,SOFTENG-BS,EMC,NC
20138,GAMEDES-BS,Redsting Games LLC,NY
20138,COMPSCI-BS,Labels and Lists,WA
20138,ANSA-BS,Datasol Inc.,VA
20138,INFOSEC-BS,LinkedIn,CA
